month,region,property_type,avg_price,avg_rent,sales_volume,inventory,construction_permits,employment_growth,interest_rate,median_income
2022-01-01,Toronto,Condo,620697.38,2792.75,973,2403,504,0.0121,0.0241,96280.37
2022-02-01,Toronto,Condo,624506.95,2704.16,836,2474,406,0.0081,0.0262,96575.82
2022-03-01,Toronto,Condo,630522.58,2666.48,520,2733,541,0.0053,0.0252,99988.49
2022-04-01,Toronto,Condo,629007.2,2503.58,343,2902,439,0.0017,0.0221,99051.02
2022-05-01,Toronto,Condo,639058.95,3665.84,721,2709,190,-0.0079,0.0261,97677.17
2022-06-01,Toronto,Condo,627563.76,2992.34,701,2460,585,0.007,0.0246,100202.64
2022-07-01,Toronto,Condo,633492.42,2792.01,934,2486,786,0.0036,0.024,97696.71
2022-08-01,Toronto,Condo,612431.68,2713.24,1155,2420,485,-0.0066,0.026,99665.55
2022-09-01,Toronto,Condo,602676.2,3343.86,632,2372,320,-0.0003,0.0232,97723.02
2022-10-01,Toronto,Condo,612055.19,2671.62,825,2433,725,0.0027,0.0279,96257.55
2022-11-01,Toronto,Condo,611440.16,2623.2,660,2411,562,0.0059,0.0268,99270.95
2022-12-01,Toronto,Condo,618770.7,2492.69,1034,2407,582,0.0112,0.0263,97945.25
2023-01-01,Toronto,Condo,633045.56,3022.21,764,2276,448,0.0156,0.0276,99035.74
2023-02-01,Toronto,Condo,633080.8,2721.24,914,2541,714,0.0049,0.0248,100743.81
2023-03-01,Toronto,Condo,635498.15,2571.43,918,2532,314,0.0083,0.027,102162.63
2023-04-01,Toronto,Condo,644019.47,3118.37,908,2523,595,-0.0003,0.0242,100804.95
2023-05-01,Toronto,Condo,652309.51,2443.17,791,2441,407,0.0078,0.0265,98654.22
2023-06-01,Toronto,Condo,660164.44,2725.42,966,2315,207,0.0025,0.0232,99350.48
2023-07-01,Toronto,Condo,642671.77,2898.54,684,2275,458,-0.0055,0.0249,98692.22
2023-08-01,Toronto,Condo,651750.13,3483.21,1275,2036,663,0.0008,0.0273,101410.95
2023-09-01,Toronto,Condo,661552.1,2654.4,526,2130,779,-0.0036,0.0267,101021.31
2023-10-01,Toronto,Condo,669434.73,2571.84,923,2107,377,-0.0044,0.0243,100321.35
2023-11-01,Toronto,Condo,679788.47,3202.13,1031,2019,301,0.0078,0.027,101644.93
2023-12-01,Toronto,Condo,694663.16,3258.95,1051,1963,294,0.0027,0.0222,99715.92
2024-01-01,Toronto,Condo,708579.5,3654.28,1360,1645,192,0.0085,0.0252,103044.12
2024-02-01,Toronto,Condo,712529.12,3356.07,560,1588,283,-0.0081,0.0288,103694.55
2024-03-01,Toronto,Condo,710236.55,3432.45,802,1669,329,-0.0007,0.0265,102338.19
2024-04-01,Toronto,Condo,729040.56,3168.67,1014,1688,470,-0.0016,0.0269,102677.29
2024-05-01,Toronto,Condo,735210.98,3243.14,702,1689,602,-0.0042,0.0268,102391.25
2024-06-01,Toronto,Condo,738556.73,3051.86,1149,1854,559,0.0078,0.027,103178.62
2024-07-01,Toronto,Condo,727987.62,3932.4,883,1972,691,0.0012,0.023,102323.5
2024-08-01,Toronto,Condo,735246.88,3339.67,824,1943,474,0.0014,0.024,103856.27
2024-09-01,Toronto,Condo,745104.75,2432.16,1024,2123,497,-0.0008,0.0248,103269.52
2024-10-01,Toronto,Condo,761699.66,3420.72,947,2040,422,0.0108,0.0269,104265.14
2024-11-01,Toronto,Condo,762153.64,2199.86,1096,1951,590,0.005,0.0254,103785.34
2024-12-01,Toronto,Condo,761570.82,3678.57,827,2051,234,-0.0015,0.0226,101820.53
2025-01-01,Toronto,Condo,747485.63,3143.79,866,2245,573,-0.006,0.0295,106355.84
2025-02-01,Toronto,Condo,756687.73,2563.83,734,2309,751,0.013,0.0277,105602.81
2025-03-01,Toronto,Condo,746878.44,3019.01,1200,2109,489,0.0076,0.0274,104177.31
2025-04-01,Toronto,Condo,748964.93,2970.83,731,2534,370,0.0101,0.0283,105648.22
2025-05-01,Toronto,Condo,754125.99,2527.07,604,2623,363,0.0058,0.0281,106497.58
2025-06-01,Toronto,Condo,745331.8,3522.26,929,2515,460,0.0067,0.0272,103939.7
2025-07-01,Toronto,Condo,738166.11,2590.62,845,2781,485,0.0043,0.0248,104716.75
2025-08-01,Toronto,Condo,727940.05,4620.22,1056,3026,563,-0.0047,0.0265,107292.54
2025-09-01,Toronto,Condo,730823.88,3186.31,896,2678,487,0.0008,0.0231,104580.0
2025-10-01,Toronto,Condo,727734.15,3315.3,926,2573,427,0.0058,0.0297,105862.95
2025-11-01,Toronto,Condo,747655.68,3355.64,504,2605,587,-0.0014,0.0233,104184.04
2025-12-01,Toronto,Condo,743391.24,3184.67,998,2738,497,-0.0068,0.03,104421.6
2026-01-01,Toronto,Condo,731186.32,3371.9,836,2797,489,-0.0165,0.0256,108572.04
2026-02-01,Toronto,Condo,735512.05,4103.96,1101,2782,258,-0.0033,0.028,108857.95
2026-03-01,Toronto,Condo,720183.2,3915.01,973,2787,285,0.0016,0.0302,107110.0
2026-04-01,Toronto,Condo,709404.21,3127.06,1181,2659,649,0.0061,0.0278,108631.94
2026-05-01,Toronto,Condo,695868.96,3275.02,230,2581,573,-0.0002,0.0274,107078.48
2026-06-01,Toronto,Condo,689976.35,2758.53,871,2466,279,-0.0047,0.0279,108694.02
2022-01-01,Toronto,Detached,1028712.37,4855.06,688,1910,571,0.0013,0.026,97609.28
